account_id,active_status,current_balance,credit_limit,cash_credit_limit,open_date,expiration_date,reissue_date,current_cycle_credit,current_cycle_debit,postal_code,group_id,customer_id
00000000001,Y,19.40,202.00,102.00,2014-11-20,2025-05-20,2025-05-20,0.00,0.00,A000000000,,1
00000000002,Y,15.80,613.00,544.80,2013-06-19,2024-08-11,2024-08-11,0.00,0.00,A000000000,,2
00000000003,Y,14.70,490.90,53.80,2013-08-23,2024-01-10,2024-01-10,0.00,0.00,A000000000,,3
00000000004,Y,4.00,350.30,278.90,2012-11-17,2023-12-16,2023-12-16,0.00,0.00,A000000000,,4
00000000005,Y,34.50,381.90,243.00,2012-10-03,2025-03-09,2025-03-09,0.00,0.00,A000000000,,5
00000000006,Y,21.80,358.40,294.80,2017-12-23,2025-10-08,2025-10-08,0.00,0.00,A000000000,,6
00000000007,Y,19.30,206.50,26.40,2012-10-12,2024-12-13,2024-12-13,0.00,0.00,A000000000,,7
00000000008,Y,60.50,610.40,131.80,2012-01-04,2024-05-20,2024-05-20,0.00,0.00,A000000000,,8
00000000009,Y,56.00,820.10,206.50,2016-08-27,2024-12-27,2024-12-27,0.00,0.00,A000000000,,9
00000000010,Y,15.90,540.10,444.20,2015-09-13,2023-01-27,2023-01-27,0.00,0.00,A000000000,,10
00000000011,Y,21.20,499.80,317.50,2014-09-12,2025-03-12,2025-03-12,0.00,0.00,A000000000,,11
00000000012,Y,17.60,463.60,38.80,2009-06-17,2023-07-07,2023-07-07,0.00,0.00,A000000000,,12
00000000013,Y,4.10,754.20,492.20,2017-10-01,2024-08-04,2024-08-04,0.00,0.00,A000000000,,13
00000000014,Y,1.50,225.40,21.20,2010-12-04,2025-12-11,2025-12-11,0.00,0.00,A000000000,,14
00000000015,Y,48.90,844.10,383.30,2009-10-06,2025-06-09,2025-06-09,0.00,0.00,A000000000,,15
00000000016,Y,73.30,892.20,263.20,2014-09-11,2024-01-25,2024-01-25,0.00,0.00,A000000000,,16
00000000017,Y,3.30,56.80,51.00,2014-05-17,2025-03-01,2025-03-01,0.00,0.00,A000000000,,17
00000000018,Y,14.40,290.30,149.60,2018-11-15,2023-09-10,2023-09-10,0.00,0.00,A000000000,,18
00000000019,Y,48.00,698.60,372.30,2011-12-14,2025-07-23,2025-07-23,0.00,0.00,A000000000,,19
00000000020,Y,36.90,376.70,104.00,2014-02-27,2024-03-13,2024-03-13,0.00,0.00,A000000000,,20
00000000021,Y,11.20,126.40,18.00,2011-10-19,2023-01-06,2023-01-06,0.00,0.00,A000000000,,21
00000000022,Y,5.50,859.90,471.20,2016-11-21,2025-12-28,2025-12-28,0.00,0.00,A000000000,,22
00000000023,Y,10.40,337.70,290.40,2012-03-15,2025-03-18,2025-03-18,0.00,0.00,A000000000,,23
