card_num,acct_id,cvv_cd,embossed_name,expiration_date,active_status
"0500024453765740",50,"***",Aniya Von,2023-03-09,Y
"0683586198171516",27,"***",Ward Jones,2025-07-13,Y
"0923877193247330",2,"***",Enrico Rosenbaum,2024-08-11,Y
"0927987108636232",20,"***",Carter Veum,2024-03-13,Y
"0982496213629795",12,"***",Maci Robel,2023-07-07,Y
"1014086565224350",44,"***",Irving Emard,2024-01-17,Y
"1142167692878931",37,"***",Shany Walker,2023-10-24,Y
"1561409106491600",35,"***",Angelica Dach,2025-09-23,Y
"2745303720002090",39,"***",Aliyah Berge,2025-09-08,Y
"2760836797107565",24,"***",Stefanie Dickinson,2025-02-11,Y
"2871968252812490",6,"***",Ignacio Douglas,2025-10-08,Y
"2940139362300449",22,"***",Allene Brown,2025-12-28,Y
"2988091353094312",4,"***",Delbert Parisian,2023-12-16,Y
"3260763612337560",10,"***",Maybell Mann,2023-01-27,Y
"3766281984155154",41,"***",Lucinda Dach,2023-04-24,Y
"3940246016141489",19,"***",Hadley Hamill,2025-07-23,Y
"3999169246375885",3,"***",Larry Homenick,2024-01-10,Y
"4011500891777367",13,"***",Mariane Fadel,2024-08-04,Y
"4385271476627819",34,"***",Faustino Schmidt,2025-10-06,Y
"4534784102713951",36,"***",Toney Gerhold,2024-12-23,Y
"4859452612877065",7,"***",Cooper Mayert,2024-12-13,Y
"5407099850479866",21,"***",Jerrold Maggio,2023-01-06,Y
"5656830544981216",46,"***",Cindy Cremin,2025-06-20,Y
"5671184478505844",18,"***",Emile White,2023-09-10,Y
"5787351228879339",47,"***",Rigoberto Hoeger,2025-08-23,Y
"5975117516616077",42,"***",Heather Nienow,2025-09-19,Y
"6009619150674526",5,"***",Treva Schowalter,2025-03-09,Y
"6349250331648509",15,"***",Aubree Hermann,2025-06-09,Y
"6503535181795992",48,"***",Lyric Pacocha,2025-02-06,Y
"6509230362553816",30,"***",Layla Ullrich,2024-06-27,Y
"6723000463207764",28,"***",Hester Hane,2024-05-09,Y
"6727055190616014",16,"***",Carroll Bergstrom,2024-01-25,Y
"6832676047698087",33,"***",Bernice Herman,2025-10-07,Y
"7026637615032277",31,"***",Lucious O'Connell,2025-06-08,Y
"7058267261837752",43,"***",Britney Waters,2025-08-29,Y
"7094142751055551",32,"***",Stephany Fisher,2025-05-19,Y
"7251508149188883",29,"***",Rickie Daugherty,2024-06-04,Y
"7379335634661142",45,"***",Dixie Beier,2025-07-09,Y
"7427684863423209",11,"***",Hayden Pfannerstill,2025-03-12,Y
"7443870988897530",38,"***",Angela Ankunding,2023-07-23,Y
"8040580410348680",26,"***",Marjory Stracke,2024-12-19,Y
"8112545834239735",23,"***",Johnson Ruecker,2025-03-18,Y
"8262593602473076",49,"***",Immanuel Bednar,2023-09-17,Y
"8517866958206008",14,"***",Chelsea Marks,2025-12-11,Y
"8931369351894783",8,"***",Kelsie Dicki,2024-05-20,Y
"9056297931664011",25,"***",Elliott Howell,2025-07-10,Y
"9349107475869214",17,"***",Sigrid Mann,2025-03-01,Y
"9501733721429893",9,"***",Melvin Ondricka,2024-12-27,Y
"9680294154603697",1,"***",Immanuel Kessler,2025-05-20,Y
"9805583408996588",40,"***",Davon Emmerich,2023-10-27,Y
