card_number,account_id,card_type,cvv_code,embossed_name,expiration_date,active_status,open_date,last_used_date
0500024453765740,50,CC,747,Aniya Von,2023-03-09,Y,2020-03-09,2021-10-26
0683586198171516,27,DC,567,Ward Jones,2025-07-13,Y,2022-07-14,2024-07-17
0923877193247330,2,CC,28,Enrico Rosenbaum,2024-08-11,Y,2021-08-12,2023-11-28
0927987108636232,20,CC,3,Carter Veum,2024-03-13,Y,2021-03-14,2024-01-05
0982496213629795,12,CC,75,Maci Robel,2023-07-07,Y,2020-07-07,2022-03-22
1014086565224350,44,CC,640,Irving Emard,2024-01-17,Y,2021-01-17,2023-03-28
1142167692878931,37,DC,625,Shany Walker,2023-10-24,Y,2020-10-24,2022-12-19
1561409106491600,35,DC,31,Angelica Dach,2025-09-23,Y,2022-09-24,2025-04-29
2745303720002090,39,DC,33,Aliyah Berge,2025-09-08,Y,2022-09-09,2025-03-31
2760836797107565,24,CC,859,Stefanie Dickinson,2025-02-11,Y,2022-02-12,2024-03-26
2871968252812490,6,CC,775,Ignacio Douglas,2025-10-08,Y,2022-10-09,2025-05-24
2940139362300449,22,CC,876,Allene Brown,2025-12-28,Y,2022-12-29,2025-09-27
2988091353094312,4,CC,795,Delbert Parisian,2023-12-16,Y,2020-12-16,2023-09-08
3260763612337560,10,CC,342,Maybell Mann,2023-01-27,Y,2020-01-28,2022-06-04
3766281984155154,41,DC,622,Lucinda Dach,2023-04-24,Y,2020-04-24,2021-10-23
3940246016141489,19,DC,375,Hadley Hamill,2025-07-23,Y,2022-07-24,2025-03-19
3999169246375885,3,DC,317,Larry Homenick,2024-01-10,Y,2021-01-10,2023-03-24
4011500891777367,13,DC,390,Mariane Fadel,2024-08-04,Y,2021-08-05,2023-11-06
4385271476627819,34,CC,709,Faustino Schmidt,2025-10-06,Y,2022-10-07,2025-05-28
4534784102713951,36,CC,644,Toney Gerhold,2024-12-23,Y,2021-12-24,2023-12-03
4859452612877065,7,DC,321,Cooper Mayert,2024-12-13,Y,2021-12-14,2024-07-17
5407099850479866,21,DC,524,Jerrold Maggio,2023-01-06,Y,2020-01-07,2021-08-08
5656830544981216,46,CC,196,Cindy Cremin,2025-06-20,Y,2022-06-21,2024-12-08
5671184478505844,18,CC,137,Emile White,2023-09-10,Y,2020-09-10,2023-02-25
5787351228879339,47,DC,67,Rigoberto Hoeger,2025-08-23,Y,2022-08-24,2024-02-26
5975117516616077,42,CC,426,Heather Nienow,2025-09-19,Y,2022-09-20,2024-08-25
6009619150674526,5,DC,21,Treva Schowalter,2025-03-09,Y,2022-03-10,2023-12-13
6349250331648509,15,DC,735,Aubree Hermann,2025-06-09,Y,2022-06-10,2025-05-22
6503535181795992,48,CC,413,Lyric Pacocha,2025-02-06,Y,2022-02-07,2024-07-14
6509230362553816,30,CC,236,Layla Ullrich,2024-06-27,Y,2021-06-28,2023-09-14
6723000463207764,28,CC,486,Hester Hane,2024-05-09,Y,2021-05-10,2023-08-10
6727055190616014,16,CC,641,Carroll Bergstrom,2024-01-25,Y,2021-01-25,2023-01-01
6832676047698087,33,DC,983,Bernice Herman,2025-10-07,Y,2022-10-08,2024-08-31
7026637615032277,31,DC,920,Lucious O'Connell,2025-06-08,Y,2022-06-09,2025-02-25
7058267261837752,43,DC,401,Britney Waters,2025-08-29,Y,2022-08-30,2024-12-17
7094142751055551,32,CC,659,Stephany Fisher,2025-05-19,Y,2022-05-20,2024-11-05
7251508149188883,29,DC,717,Rickie Daugherty,2024-06-04,Y,2021-06-05,2023-02-03
7379335634661142,45,DC,134,Dixie Beier,2025-07-09,Y,2022-07-10,2025-05-23
7427684863423209,11,DC,892,Hayden Pfannerstill,2025-03-12,Y,2022-03-13,2023-12-30
7443870988897530,38,CC,708,Angela Ankunding,2023-07-23,Y,2020-07-23,2022-03-06
8040580410348680,26,CC,971,Marjory Stracke,2024-12-19,Y,2021-12-20,2023-12-26
8112545834239735,23,DC,440,Johnson Ruecker,2025-03-18,Y,2022-03-19,2024-04-30
8262593602473076,49,DC,457,Immanuel Bednar,2023-09-17,Y,2020-09-17,2023-09-01
8517866958206008,14,CC,955,Chelsea Marks,2025-12-11,Y,2022-12-12,2025-09-08
8931369351894783,8,CC,230,Kelsie Dicki,2024-05-20,Y,2021-05-21,2024-04-30
9056297931664011,25,DC,931,Elliott Howell,2025-07-10,Y,2022-07-11,2025-01-02
9349107475869214,17,DC,218,Sigrid Mann,2025-03-01,Y,2022-03-02,2024-07-03
9501733721429893,9,DC,725,Melvin Ondricka,2024-12-27,Y,2021-12-28,2024-03-08
9680294154603697,1,DC,45,Immanuel Kessler,2025-05-20,Y,2022-05-21,2023-11-20
9805583408996588,40,CC,908,Davon Emmerich,2023-10-27,Y,2020-10-27,2022-08-25
