sec_usr_id,sec_usr_fname,sec_usr_lname,sec_usr_pwd,sec_usr_type
ADMIN001,MARGARET,GOLD,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,A
ADMIN002,RUSSELL,RUSSELL,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,A
ADMIN003,RAYMOND,WHITMORE,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,A
ADMIN004,EMMANUEL,CASGRAIN,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,A
ADMIN005,GRANVILLE,LACHAPELLE,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,A
USER0001,LAWRENCE,THOMAS,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,U
USER0002,AJITH,KUMAR,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,U
USER0003,LAURITZ,ALME,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,U
USER0004,AVERARDO,MAZZI,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,U
USER0005,LEE,TING,$2a$10$ri9Jh7ypEedBbJAFg.E5Uu379W8pUsoN3zq.5WPx7oGlDX0MHs5Ty,U
